id,name,category,district,address,has_address,business_status,lat,lng,opening_hours,hours_source,link_by_name,link_by_coord,osm_link,coord_dung,hours_dung,ghi_chu
node/4878114221,O dây có bán càphê,cafe,Phường Hoàn Kiếm,116 Phố Cầu Gỗ,Y,,21.032358,105.8514512,Mo-Su 07:00-23:30,osm,https://www.google.com/maps/search/?api=1&query=116%20Ph%E1%BB%91%20C%E1%BA%A7u%20G%E1%BB%97%2C%20Ph%C6%B0%E1%BB%9Dng%20Ho%C3%A0n%20Ki%E1%BA%BFm%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.032358,105.8514512",https://www.openstreetmap.org/node/4878114221,Y,Y,sai tên
node/5751409631,Nhà Hàng Délices de Mai,food,,66 Quảng Bá Phố Quảng Bá,Y,,21.065582,105.8226426,Mo-Su 08:00-22:00,osm,https://www.google.com/maps/search/?api=1&query=66%20Qua%CC%89ng%20Ba%CC%81%20Ph%E1%BB%91%20Qu%E1%BA%A3ng%20B%C3%A1%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.065582,105.8226426",https://www.openstreetmap.org/node/5751409631,N,N,không thấy quán này đâu cả 
node/4504646891,Bánh Cuốn Gia Truyền Thanh Vân,food,Phường Hoàn Kiếm,14 Hàng Gà,Y,,21.0360528,105.8471707,Mo-Su 08:00-15:00,osm,https://www.google.com/maps/search/?api=1&query=14%20H%C3%A0ng%20G%C3%A0%2C%20Ph%C6%B0%E1%BB%9Dng%20Ho%C3%A0n%20Ki%E1%BA%BFm%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0360528,105.8471707",https://www.openstreetmap.org/node/4504646891,Y,N,7-13 17-21
node/4784540821,Cà Phê 81,cafe,,81 Trần Quốc Toản,Y,,21.0206823,105.8457267,Mo-Su 07:00-21:00,osm,https://www.google.com/maps/search/?api=1&query=81%20Tr%E1%BA%A7n%20Qu%E1%BB%91c%20To%E1%BA%A3n%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0206823,105.8457267",https://www.openstreetmap.org/node/4784540821,N,N,
node/4973895421,Cà Phê 555 Trưng Trắc,cafe,,Số 5 Số 5 Trưng Trắc,Y,,20.971103,105.7791325,Mo-Su 06:30-23:00,osm,https://www.google.com/maps/search/?api=1&query=S%E1%BB%91%205%20S%E1%BB%91%205%20Tr%C6%B0ng%20Tr%E1%BA%AFc%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=20.971103,105.7791325",https://www.openstreetmap.org/node/4973895421,Y,Y,
node/10240190081,1992 Quán,food,Bắc Từ Liêm,45 Đường Đức Thắng,Y,,21.0807524,105.7781333,24/7,osm,https://www.google.com/maps/search/?api=1&query=45%20%C4%90%C6%B0%E1%BB%9Dng%20%C4%90%E1%BB%A9c%20Th%E1%BA%AFng%2C%20B%E1%BA%AFc%20T%E1%BB%AB%20Li%C3%AAm%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0807524,105.7781333",https://www.openstreetmap.org/node/10240190081,N,N,đóng vĩnh viễn
node/9805222045,Couchsurfing Café,cafe,Ba Đình,"103A/2 Tập thể viện Mác LêNin, ngõ 84 Ngọc Khánh",Y,,21.0269018,105.8161428,Mo-Su 08:00-23:00,osm,https://www.google.com/maps/search/?api=1&query=103A/2%20T%E1%BA%ADp%20th%E1%BB%83%20vi%E1%BB%87n%20M%C3%A1c%20L%C3%AANin%2C%20ng%C3%B5%2084%20Ng%E1%BB%8Dc%20Kh%C3%A1nh%2C%20Ba%20%C4%90%C3%ACnh%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0269018,105.8161428",https://www.openstreetmap.org/node/9805222045,N,N,không thấy quán này đâu cả 
node/9551699235,Bánh Tráng Phú Cường Cơ Sở 1,food,Đống Đa,42 Phố Nguyên Hồng,Y,,21.0160069,105.8099478,Mo-Su 10:00-22:00,osm,https://www.google.com/maps/search/?api=1&query=42%20Ph%E1%BB%91%20Nguy%C3%AAn%20H%E1%BB%93ng%2C%20%C4%90%E1%BB%91ng%20%C4%90a%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0160069,105.8099478",https://www.openstreetmap.org/node/9551699235,Y,Y,
node/11563157244,Cafe Sun,cafe,Quận Bắc Từ Liêm,477 Đường Hoàng Quốc Việt,Y,,21.0458992,105.784456,Mo-Su 06:30-23:30,osm,https://www.google.com/maps/search/?api=1&query=477%20%C4%90%C6%B0%E1%BB%9Dng%20Ho%C3%A0ng%20Qu%E1%BB%91c%20Vi%E1%BB%87t%2C%20Qu%E1%BA%ADn%20B%E1%BA%AFc%20T%E1%BB%AB%20Li%C3%AAm%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0458992,105.784456",https://www.openstreetmap.org/node/11563157244,Y,Y,
node/12692502183,The Imperial Book Cafe,cafe,,,N,,21.0365303,105.840928,Mo-Su 09:00-17:00,osm,https://www.google.com/maps/search/?api=1&query=The%20Imperial%20Book%20Cafe%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0365303,105.840928",https://www.openstreetmap.org/node/12692502183,Y,Y,
